Company Name,Website,Location,Category,Description,Lat,Lng
Textron Systems,https://www.textronsystems.com/products/cusv,Providence RI,Legacy,"Textron Systems, a business unit of Textron Inc., develops the Common Unmanned Surface Vehicle (CUSV) for military applications. The company provides advanced defense systems and unmanned solutions across air, land, and maritime domains. Textron leverages its extensive defense technology experience to deliver autonomous maritime capabilities for government customers.",41.8239891,-71.4128343
Huntington Ingalls Industries,https://hii.com/product/romulus-usvs/,Newport News VA,Legacy,"Huntington Ingalls Industries (HII) is America's largest military shipbuilder and develops the Romulus family of unmanned surface vessels for Navy applications. The company brings decades of shipbuilding expertise from constructing aircraft carriers, destroyers, and amphibious ships to the autonomous vessel market. HII has invested in autonomous technology companies including Sea Machines Robotics to advance unmanned maritime capabilities.",36.9775016,-76.42977
MARTAC,https://martacsystems.com/,Melbourne FL,Mid-Tier,"Maritime Tactical Systems (MARTAC), founded in 2012, manufactures the MANTAS and Devil Ray families of high-speed catamaran USVs ranging from 6 to 60 feet. The Devil Ray T38, their flagship 38-foot platform, achieved the first fully autonomous international run across the Florida Straits at 70+ knot speeds in under an hour. MARTAC's USVs feature burst speeds up to 80+ knots, modular payloads up to 4,000 pounds, and operate in sea states up to 5 with fully autonomous, semi-autonomous, and manual control modes.",28.0785034,-80.6077908
Blue Ops (Red Cat Holdings),https://blueops.com/,Salt Lake City UT,Mid-Tier,"Blue Ops, a division of Red Cat Holdings, focuses on unmanned maritime systems for defense and security applications. The company provides autonomous surface and underwater vehicle solutions for military and commercial customers. Blue Ops is part of Red Cat's broader portfolio of unmanned systems technologies.",18.1380738,-65.8196369
SeaRobotics,https://searobotics.com/,Stuart FL,Mid-Tier,"SeaRobotics Corporation designs and manufactures unmanned surface vehicles and autonomous control systems for military, security, and scientific applications. The company offers a range of USV platforms from small survey vessels to larger multi-mission capable systems. SeaRobotics provides turnkey autonomous solutions including vehicle hardware, software, and mission planning capabilities.",27.197983,-80.2519175
Swiftships,https://swiftships.com/,Morgan City LA,Mid-Tier,"Swiftships is a Louisiana-based shipbuilder with decades of experience constructing patrol boats and specialized vessels for military and commercial customers worldwide. The company serves as the vessel construction partner for L3Harris's Medium Unmanned Surface Vehicle program, building 195-foot autonomous ships. Swiftships leverages its Gulf Coast shipbuilding facilities and expertise to support the growing demand for unmanned naval platforms.",29.6993748,-91.20677
General Dynamics,https://gdmissionsystems.com/shipboard-integration-and-combat-systems/ghost,Reston VA,Legacy,"General Dynamics Mission Systems developed the Ghost unmanned surface vessel, a high-speed autonomous platform designed for intelligence, surveillance, and reconnaissance missions. The 50-foot Ghost USV demonstrated speeds over 30 knots and the ability to operate autonomously for extended periods. General Dynamics applies its extensive defense systems integration experience to deliver unmanned maritime capabilities for naval operations.",38.9587514,-77.3585955
BAE Systems US,https://www.baesystems.com/en/product/uncrewed-surface-vessel,Arlington VA,Legacy,"BAE Systems US develops uncrewed surface vessel technologies and autonomous mission systems for naval applications. The company leverages its global defense technology expertise to provide advanced sensors, combat systems, and mission equipment for unmanned maritime platforms. BAE Systems offers integrated solutions combining autonomy, communications, and mission payloads for next-generation naval forces.",38.8769326,-77.0893094
Teledyne Technologies,https://www.teledynemarine.com/brands/oceanscience,Thousand Oaks CA,Legacy,"Teledyne Marine, part of Teledyne Technologies, produces the OceanScience Z-Boat series of autonomous surface vehicles for hydrographic surveying and ocean data collection. The company's USVs are widely used for bathymetric mapping, water quality monitoring, and coastal surveying applications. Teledyne leverages its extensive marine instrumentation and sensor expertise to provide complete autonomous survey solutions for government agencies, research institutions, and commercial customers.",34.1705609,-118.8375937
Splash Inc.,https://splash9.com/,Inglewood CA,Startup,Splash is developing innovative autonomous maritime platforms focused on sustainable ocean transportation and cargo delivery solutions. The company aims to revolutionize maritime logistics through electric and autonomous vessel technologies. Splash is working to reduce the environmental impact of maritime operations while improving efficiency and safety.,33.9562003,-118.353132
SeaTrac,https://www.seatrac.com/,Marblehead MA,Startup,"SeaTrac Systems specializes in autonomous underwater and surface vehicle navigation and communication technologies. The company provides precision acoustic positioning and tracking systems for unmanned maritime vehicles. SeaTrac's technology enables accurate navigation and data collection for scientific, defense, and commercial underwater operations.",42.500096,-70.8578253
Amidon,https://amidonheavyindustries.com/,El Segundo CA,Startup,Amidon Heavy Industries is developing next-generation unmanned maritime systems with a focus on innovative hull designs and propulsion technologies. The company aims to deliver autonomous platforms for defense and commercial applications. Amidon is working to advance USV capabilities through novel engineering approaches and manufacturing methods.,33.917028,-118.4156337
