Name,Length (ft),Range (nm),Endurance (days),Seastate,Top Speed (kts),Payload (lbs),Propulsion,Aux Propulsion,Company,Source,Google Link
Variant 7,,,,,,,,,Blue Ops (Red Cat Holdings),https://blueops.com/usv-solutions/variant7/,
Selkie,23,400,30,,30,660,Diesel,,Sea Machines Robotics,https://sea-machines.com/selkie/,https://drive.google.com/file/d/11ElmPE_DZSLDNQJJcwLs6H5OT9LNq25s/view
Storm Runner,26,700,,,40,1000,Diesel,,Sea Machines Robotics,https://sea-machines.com/stormrunner/,https://drive.google.com/file/d/1c4GUIa5NqaH_5wARh4_9kxdy4A4CCeV4/view
AHI Scout-18,,,,,,,,,Amidon Heavy Industries,https://amidonheavyindustries.com/#scout,
SP-48,16,,,,5,154,Electric,,SeaTrac,https://www.seatrac.com/the-seatrac-system/hardware-the-boat/,https://drive.google.com/file/d/16bEsyDfnIFg8z-yBt5xRd25eliP2zHqR/view
Devil Ray T38,38,,,,100,4000,Diesel,,MARTAC,https://martacsystems.com/products/t38/,
Devil Ray T24,24,,,,60,1800,Diesel,,MARTAC,https://martacsystems.com/products/t24/,
MANTAS T12,12,,,,30,140,Electric,,MARTAC,https://martacsystems.com/products/t12/,
Challenger,46,400,1.8,,45,16975.6,Diesel,,Swiftships,https://swiftships.com/vessels/46-feet-challenger/,https://drive.google.com/file/d/1iy3SWTPDOgbS-rcm3oYYdmjRtxhbo--F/view
Anaconda,,,,,,,,,Swiftships,https://swiftships.com/autonomous-solutions/anaconda/,
Riley Claire aka Nomad,,,,,,,,,Swiftships,https://swiftships.com/autonomous-solutions/riley-claire-aka-nomad/,
GHOST,65,407,,4,35,4060,,,General Dynamics,https://gdmissionsystems.com/shipboard-integration-and-combat-systems/ghost,https://drive.google.com/file/d/1olDwQ2SPSI2Tor1xdfMEgfO4NgSNfGxi/view
Endurance 7.0,23,,6,,10,,Diesel Electric,,SeaRobotics,https://searobotics.com/products/autonomous-surface-vehicles/sr-endurance-class/,https://drive.google.com/file/d/14kwUNu0Cj_A0JVjSpTF8RYN5u20F0zrS/view
Wave Glider SV3,10,,365,,2,154,Wave Energy,,Liquid Robotics (Boeing),https://www.liquid-robotics.com/wave-glider/overview/,https://drive.google.com/file/d/1O6r1T5E49SN1adyLCURiVkgVKtLogMzt/view
Wave Glider SV5,17,,,,2,474,Wave Energy,,Liquid Robotics (Boeing),https://www.liquid-robotics.com/wave-glider/overview/,https://drive.google.com/file/d/1i404ztloX0Ge3X0xp67dqbWxN_vhhGBx/view
Q-Boat 1250,4.2,,,,4.5,10,,,Teledyne Technologies,https://www.teledynemarine.com/brands/oceanscience/q-boat-1250,https://drive.google.com/file/d/10y2HF2FsCl0uFz_5pcliWDh61YiVsRdT/view
Z-Boat 1250,4.2,,,,2.9,10,,,Teledyne Technologies,https://www.teledynemarine.com/en-us/products/Pages/zboat1250.aspx,https://drive.google.com/file/d/1rppfLpoZT0pz1ocDMtDRDk2IRnI4Yn8-/view
Q-Boat 1800RP,5.9,,,,10,66.6,,,Teledyne Technologies,https://www.teledynemarine.com/brands/oceanscience/q-boat-1800rp,https://drive.google.com/file/d/1OvtDT0pGvTCRbSWlegS2DtN3I58puHDe/view
Z-Boat 1800,5.9,,0.167,,10,66.6,,,Teledyne Technologies,https://www.teledynemarine.com/brands/oceanscience/z-boat1800,https://drive.google.com/file/d/1kCMfws0m8C-GUJVBJOUQNLs4-E-2T1eQ/view
"Z-Boat 1800T - Trimble Edition",5.9,,,,4.5,19.8,,,Teledyne Technologies,https://www.teledynemarine.com/brands/oceanscience/z-boat1800t-trimble,https://drive.google.com/file/d/1pT9vUdc6WSN8XSljtIIT5aI1sSnDNYt2/view
-Unamed-,34,300,,,40,,Diesel,,BAE Systems US,https://www.baesystems.com/en/product/uncrewed-surface-vessel,https://drive.google.com/file/d/1qWAkEzsgrFOuyXm6LD3dbTpzAL5UHj-S/preview
NeedleFish,46,,,,,,,,Ocean Infinity,https://oceaninfinity.com/news/ocean-infinity-launches-needlefish-usv-in-kuwait/,
